news_headline,news_article,news_category
Ex-Pak batsman Raja once got out obstructing field running for 100th run,"Pakistan's Ramiz Raja became the first batsman in ODIs to get out obstructing the field against England on November 20, 1987. Raja was batting on 98 before playing the match's last ball. While trying to take a second run to get to his century, Raja used his bat to prevent the ball from hitting the wickets and was signalled out.",sports
"Sachin reached 30,000 international runs during his 88th century","Sachin Tendulkar became the first and the only batsman till date to reach the 30,000-run mark in international cricket on November 20, 2009. Tendulkar achieved the feat on the way to his international career's 88th hundred in a Test against Sri Lanka at Ahmedabad. Sachin ended his career with 34,357 international runs and 100 international hundreds.",sports
"People say can I do it with other teams, what's the need: Rohit on success with MI","Responding to critics over his success with Mumbai Indians, captain Rohit Sharma said, ""I hear lot of people say that can I do it with other teams? Why shall I need to do it with other teams?"" He added, ""Did this team become good overnight? No. It’s just that this franchise doesn’t believe in chopping and changing.""",sports
"Maxwell responds to Sehwag's ₹10-cr cheerleader remark, says 'He's in media for it'","Reacting to Virender Sehwag calling him a '₹10-crore cheerleader' for his performance in IPL 2020, KXIP and Australia all-rounder Glenn Maxwell said, ""Viru is pretty outspoken with his dislike of me, and that's fine."" Maxwell added, ""He is allowed to say whatever he likes. He is in the media for such statements. I deal with that and move on."" ",sports
I am absolutely alive and fine: Pak superfan Chacha Cricket on rumours of his death,"Pakistan cricket team superfan Chacha Cricket aka Sufi Abdul Jalil shared a video on Twitter to rubbish rumours of his death on social media. ""Whoever posted my picture on Facebook and spread this fake news [of my death], may Allah give him Hidayat (guidance) as well,"" he said in the video.",sports
I couldn't train the day I wasn't picked for Australia tour: Suryakumar Yadav,"Mumbai Indians batsman Suryakumar Yadav has revealed that he couldn't train the day he wasn't picked for Team India's tour of Australia. ""I was expecting to be selected this time. I was a bit disappointed when I found my name missing,"" he said. ""It was difficult to take my mind off from that dejection,"" he further said.",sports
"Wasn't a concern what X, Y or Z was talking about: Rohit on controversy over injury","Talking about controversy over his hamstring injury, MI captain Rohit Sharma said, ""It wasn't a concern what X, Y or Z was talking about like whether I'd make it to Australia."" He added, ""I was constantly communicating with BCCI and MI."" He stated, ""There is still some work...that needs to be done...That's why I didn't go to Australia for...white-ball leg.""",sports
Cycle mechanic thought I was my sister's servant due to my looks at 14: Kapil Dev,"Kapil Dev, in an episode of #NoFilterNeha, revealed that once a cycle mechanic mistook him as his sister's servant due to his looks when he was 14. Kapil said he had gone to the mechanic with his sister after her cycle got punctured. ""The mechanic said to my sister, 'You can go. Leave your servant here',"" Kapil added.",sports
"Brad Hogg says Rohit's place in Test team uncertain, Jaffer trolls him","Ex-Australia spinner Brad Hogg, while responding to a fan on Twitter, said that Rohit Sharma's record in Test cricket while touring provides no certainty of him holding a spot in the team. Kings XI Punjab batting coach Wasim Jaffer trolled Hogg for his statement sharing a 'Hera Pheri' meme that read, ""Aaja...Aaja beta aaja.""",sports
I could see boredom on Kohli's face during IPL: Akhtar on split captaincy talks,"Ex-Pakistan pacer Shoaib Akhtar has said if Virat Kohli is feeling fatigued, he should think about giving captaincy to Rohit Sharma in one of the formats. ""I could see the boredom on his face during the IPL, maybe it was because of the bio-bubble situation,"" Akhtar added. He further said, ""Rohit has been ready for captaincy for a while.""",sports
Babar Azam looks like a million dollar player: Ravichandran Ashwin,"Team India off-spinner Ravichandran Ashwin has said that Pakistan captain Babar Azam looks like a million dollar player. ""He has scored a hundred in Australia. It is so good to see him bat so well. He is a treat for the eyes,"" Ashwin added while interacting with ex-Pakistan captain Inzamam-ul-Haq. Inzamam said, ""Babar is simply a great player.""",sports
I didn’t even know I had contracted coronavirus: Mark Boucher,"South Africa head coach Mark Boucher has revealed that he had been a victim of coronavirus without knowing he had contracted the disease. ""I felt a little down for one or two days. I had been throwing down to some players in the nets and felt some aches and pains. COVID-19 is bigger than sport,"" he added.",sports
"Chahal shares video of himself batting in nets in Australia, gets trolled","Team India leg-spinner Yuzvendra Chahal took to Instagram to share a video of himself batting in the nets in Australia, writing, ""Adding up scores this time."" Several cricketers, including Rashid Khan and Dale Steyn, trolled Chahal. Rashid wrote, ""Nice but brother, we are better off as bowlers."" Steyn commented, ""Facing fast off spin?""",sports
Gayle should be in playing XI from game one in IPL 2021: KXIP co-owner Wadia,"Kings XI Punjab co-owner Ness Wadia has said that Chris Gayle should feature in playing XI from game one in the next IPL. ""Gayle demonstrated [in IPL 2020] that he should play every game next season,"" Wadia added. Gayle featured in seven of KXIP's 14 matches in IPL 2020 and scored 288 runs.",sports
"Players aged below 15 cannot play international cricket, announces ICC","The ICC has introduced minimum age restrictions for international cricket to improve safeguarding of players which will apply across all cricket including ICC events, bilateral cricket and Under-19 cricket. To play in any form of men's, women's or Under-19 international cricket, players must have a minimum age of 15. Member boards could apply to ICC in exceptional cases.",sports
"AB de Villiers becomes father for the third time, shares pic of newborn daughter","Former South Africa captain AB de Villiers took to Instagram to reveal that he and his wife Danielle have become parents for the third time. Sharing a picture, De Villiers wrote, ""On 11-11-2020, we welcomed a beautiful baby girl into the world...Yente de Villiers, you are the perfect addition to our family."" The duo have two sons together.",sports
We have to respect Kohli's decision: Laxman on paternity leave,"Talking about Team India captain Virat Kohli's decision to take paternity leave, ex-India batsman VVS Laxman said, ""You are a professional cricketer but you are also a family man, and you also respect what is good for your family."" He added, ""We have to respect [Kohli's] decision. It is a very important phase of [his] life.""",sports
"If Kohli has his baby here, we can claim his offspring as Australian, jokes Border","Talking about Virat Kohli taking paternity leave for the birth of their first child, ex-Australia captain Allan Border joked, ""We were thinking he might think about having his newborn...here because we can claim his offspring as Australian."" Border added, ""The one thing that is in Australia’s favour is Virat Kohli playing only the first Test.""",sports
Our middle child wants to be Virat Kohli: David Warner's wife Candice,"Australian cricketer David Warner's wife Candice recently revealed that their middle child, four-year-old Indi Rae, is a Virat Kohli fan and likes to play as him whenever their family plays backyard cricket at home. ""She wants to be Kohli. She is the rebel,"" Candice added. Candice stated that David maintains his ""competitive spirit"" even when he’s playing with his daughters.",sports
"ICC alters WTC points system due to pandemic, India dethroned from top spot ","The ICC today announced that the ICC World Test Championship points system has been amended due to the COVID-19 pandemic. The teams will now be ranked in order of percentage of points earned. With the update, Australia went past India to claim the first position on the points table. Australia has earned 82.2% points, while India has earned 75%.",sports
Wasn't our intention: Belgian Mayor on decorating town with penis-shaped lights,"The Mayor of Belgian town of Oudenburg has admitted that it wasn't intentional to decorate the town with penis-shaped lights for Christmas. ""It wasn't our intention to install Christmas lights that remind people of a penis. But we do see the lighter side of the incident,"" the Mayor said. The technical department planned for the lights to look like candles.",world
